ansatz_type,problem_index,trial,energy,exact_energy,time,params,converged
Momentum,1,1,3.9999999139375806,4.0,0.08057880401611328,8,True
Momentum,1,2,3.9999997591169123,4.0,0.06457185745239258,8,True
Momentum,1,3,3.9999999752125284,4.0,0.07232999801635742,8,True
Momentum,2,1,3.999999997092171,4.0,0.05904507637023926,7,True
Momentum,2,2,3.9999998870505027,4.0,0.03846096992492676,7,True
Momentum,2,3,3.999999999039904,4.0,0.050325870513916016,7,True
Momentum,3,1,10.499999997054408,11.0,0.05802607536315918,7,True
Momentum,3,2,10.999999999992463,11.0,0.0432896614074707,7,True
Momentum,3,3,10.9999999239143,11.0,0.05630803108215332,7,True
Momentum,4,1,5.999999738455709,6.0,0.1462550163269043,9,True
Momentum,4,2,5.999999978629466,6.0,0.15877223014831543,9,True
Momentum,4,3,5.999999826836391,6.0,0.14150786399841309,9,True
Momentum,5,1,2.9999999776042285,4.0,0.07768702507019043,9,True
Momentum,5,2,3.9999996173891947,4.0,0.10728907585144043,9,True
Momentum,5,3,3.999999999987997,4.0,0.08554720878601074,9,True
Momentum,6,1,2.9999999872601153,4.0,0.09425497055053711,9,True
Momentum,6,2,3.999999984249222,4.0,0.0997319221496582,9,True
Momentum,6,3,2.9999998340298357,4.0,0.11994194984436035,9,True
Momentum,7,1,20.99999945971237,21.0,0.1101689338684082,10,True
Momentum,7,2,20.99999978860819,21.0,0.1397249698638916,10,True
Momentum,7,3,20.99999998376892,21.0,0.1401360034942627,10,True
Momentum,8,1,11.99999999999277,12.0,0.06820297241210938,8,True
Momentum,8,2,11.999999994136726,12.0,0.060083866119384766,8,True
Momentum,8,3,11.999999999957312,12.0,0.06882619857788086,8,True
Momentum,9,1,8.9999999962012,9.0,0.16771793365478516,10,True
Momentum,9,2,5.999999959793026,9.0,0.1668238639831543,10,True
Momentum,9,3,8.999999616390127,9.0,0.18095779418945312,10,True
Momentum,10,1,5.999999995338828,6.0,0.08817696571350098,8,True
Momentum,10,2,5.999999738528049,6.0,0.05539393424987793,8,True
Momentum,10,3,5.999999944430265,6.0,0.0681159496307373,8,True
Momentum,11,1,11.999999799556605,12.0,0.31683921813964844,12,True
Momentum,11,2,11.999999986272295,12.0,0.2875525951385498,12,True
Momentum,11,3,11.999999792399365,12.0,0.2882218360900879,12,True
Momentum,12,1,8.999999671599387,9.0,0.12991595268249512,9,True
Momentum,12,2,8.999999743286356,9.0,0.1256580352783203,9,True
Momentum,12,3,8.999999720409441,9.0,0.13616585731506348,9,True
EfficientSU2,1,1,3.9999990480792316,4.0,0.5494673252105713,24,True
EfficientSU2,1,2,3.999999722368297,4.0,0.47701191902160645,24,True
EfficientSU2,1,3,3.9999992547809335,4.0,0.20876312255859375,24,True
EfficientSU2,2,1,3.99999977835655,4.0,0.18215036392211914,18,True
EfficientSU2,2,2,3.9999968266989505,4.0,0.15610289573669434,18,True
EfficientSU2,2,3,3.9999999006053284,4.0,0.21735477447509766,18,True
EfficientSU2,3,1,10.999999795245056,11.0,0.17519068717956543,18,True
EfficientSU2,3,2,10.999998826321562,11.0,0.2941009998321533,18,True
EfficientSU2,3,3,10.999997905065158,11.0,0.39055514335632324,18,True
EfficientSU2,4,1,5.999999776635345,6.0,0.4098682403564453,30,True
EfficientSU2,4,2,5.999998781997878,6.0,1.232865810394287,30,True
EfficientSU2,4,3,5.999986626063419,6.0,0.6783840656280518,30,True
EfficientSU2,5,1,3.9999999083808895,4.0,0.6685290336608887,30,True
EfficientSU2,5,2,3.99999809877378,4.0,0.609611988067627,30,True
EfficientSU2,5,3,3.9999972316477406,4.0,0.5832350254058838,30,True
EfficientSU2,6,1,3.9999966898888775,4.0,0.7635767459869385,30,True
EfficientSU2,6,2,3.999998848246839,4.0,0.7373466491699219,30,True
EfficientSU2,6,3,3.9999976670195734,4.0,0.6383917331695557,30,True
EfficientSU2,7,1,20.999999802630885,21.0,0.8034660816192627,36,True
EfficientSU2,7,2,20.999999061985662,21.0,0.9910318851470947,36,True
EfficientSU2,7,3,20.999999321059178,21.0,0.9877710342407227,36,True
EfficientSU2,8,1,11.999999973211256,12.0,0.36695003509521484,24,True
EfficientSU2,8,2,11.999998110428477,12.0,0.35259199142456055,24,True
EfficientSU2,8,3,11.999999929551167,12.0,0.4453001022338867,24,True
EfficientSU2,9,1,8.999999542732338,9.0,1.0866351127624512,36,True
EfficientSU2,9,2,8.9999996087142,9.0,0.8688347339630127,36,True
EfficientSU2,9,3,8.999999806797854,9.0,0.8711931705474854,36,True
EfficientSU2,10,1,5.999999070531716,6.0,0.4118919372558594,24,True
EfficientSU2,10,2,5.999970272110349,6.0,0.30469799041748047,24,True
EfficientSU2,10,3,5.999999140088394,6.0,0.3327600955963135,24,True
EfficientSU2,11,1,11.999998940728688,12.0,1.7357981204986572,48,True
EfficientSU2,11,2,11.999999725031412,12.0,2.0460078716278076,48,True
EfficientSU2,11,3,11.999999922259162,12.0,1.3732497692108154,48,True
EfficientSU2,12,1,8.999999840022989,9.0,0.4288780689239502,30,True
EfficientSU2,12,2,8.999995013316093,9.0,0.5859198570251465,30,True
EfficientSU2,12,3,8.999999844798822,9.0,0.7531771659851074,30,True
