,builder,problem_index,depth,gates,build_time,energy_error,vqe_energy,solved_eigenvalue,exact_energy
0,MomentumBuilder,0,11,8,0.13535737991333008,1.4158981320733233e-07,3.999999858410187,4.0,4.0
1,MomentumBuilder,1,10,7,0.06323361396789551,5.81134602661848e-08,3.9999999418865397,4.0,4.0
2,MomentumBuilder,2,10,7,0.04359555244445801,0.5000000486087917,10.499999951391208,11.0,11.0
3,MomentumBuilder,3,8,9,0.22425079345703125,1.8321607543114737e-05,5.999981678392457,6.0,6.0
4,MomentumBuilder,4,7,9,0.12092447280883789,1.0000038665360353,2.9999961334639647,4.0,4.0
5,MomentumBuilder,5,8,9,0.1279900074005127,0.002233735188420294,3.9977662648115797,4.0,4.0
6,MomentumBuilder,6,7,10,0.21666860580444336,0.0015414819799772772,20.998458518020023,21.0,21.0
7,MomentumBuilder,7,10,8,0.12684917449951172,3.073477117254697e-08,11.999999969265229,12.0,12.0
8,MomentumBuilder,8,11,10,0.26476073265075684,3.000051749147385,5.999948250852615,9.0,9.0
9,MomentumBuilder,9,10,8,0.07757425308227539,1.601397345396549e-06,5.999998398602655,6.0,6.0
10,MomentumBuilder,10,11,12,0.43850278854370117,0.002868576781512644,11.997131423218487,12.0,12.0
11,MomentumBuilder,11,7,9,0.15970802307128906,1.0617067719209672e-05,8.99998938293228,9.0,9.0
0,FixedSU2Builder,0,1,32,0.0,0.026078669949251676,3.9739213300507483,4.0,4.0
1,FixedSU2Builder,1,1,24,0.0,0.017531643566457866,3.982468356433542,4.0,4.0
2,FixedSU2Builder,2,1,24,0.0,0.24659679916157273,10.753403200838427,11.0,11.0
3,FixedSU2Builder,3,1,40,0.002866506576538086,0.13513463880265775,5.864865361197342,6.0,6.0
4,FixedSU2Builder,4,1,40,0.0,0.31607232634926996,3.68392767365073,4.0,4.0
5,FixedSU2Builder,5,1,40,0.0,0.8596265333665349,3.140373466633465,4.0,4.0
6,FixedSU2Builder,6,1,48,0.0,0.8590485977569529,20.140951402243047,21.0,21.0
7,FixedSU2Builder,7,1,32,0.0019986629486083984,0.7111836023319213,11.288816397668079,12.0,12.0
8,FixedSU2Builder,8,1,48,0.004065275192260742,2.9488071463142713,6.051192853685729,9.0,9.0
9,FixedSU2Builder,9,1,32,0.0076830387115478516,0.36401613815997536,5.635983861840025,6.0,6.0
10,FixedSU2Builder,10,1,64,0.002000570297241211,3.873855962426372,8.126144037573628,12.0,12.0
11,FixedSU2Builder,11,1,40,0.001999378204345703,1.381126365000334,7.618873634999666,9.0,9.0
0,EvolvedOperatorBuilder,0,1,5,0.0,4.0,-0.0,4.0,4.0
1,EvolvedOperatorBuilder,1,1,3,0.001001119613647461,4.0,-1.1102230246251565e-16,4.0,4.0
2,EvolvedOperatorBuilder,2,1,2,0.0,11.000000000000002,-9.992007221626409e-16,11.0,11.0
3,EvolvedOperatorBuilder,3,1,10,0.0,6.0,-3.3306690738754696e-16,6.0,6.0
4,EvolvedOperatorBuilder,4,1,4,0.0010068416595458984,4.0,-1.1102230246251565e-16,4.0,4.0
5,EvolvedOperatorBuilder,5,1,4,0.0,4.0,-0.0,4.0,4.0
6,EvolvedOperatorBuilder,6,1,7,0.0,20.999999999999996,4.440892098500626e-15,21.0,21.0
7,EvolvedOperatorBuilder,7,1,5,0.0,12.0,-8.326672684688674e-16,12.0,12.0
8,EvolvedOperatorBuilder,8,1,9,0.0,9.0,-7.771561172376096e-16,9.0,9.0
9,EvolvedOperatorBuilder,9,1,2,0.0010428428649902344,6.0,-3.885780586188048e-16,6.0,6.0
10,EvolvedOperatorBuilder,10,1,12,0.000997304916381836,11.999999999999998,1.7763568394002505e-15,12.0,12.0
11,EvolvedOperatorBuilder,11,1,6,0.0009992122650146484,9.0,-2.220446049250313e-16,9.0,9.0
